AGE,2018,2017,2016,2015
0.0,768431.0,772826.0,779610.0,777511.0
1.0,777830.0,787014.0,785434.0,792874.0
2.0,792428.0,792146.0,800158.0,817257.0
3.0,798299.0,806216.0,823716.0,825887.0
4.0,811766.0,829328.0,831787.0,813155.0
5.0,834111.0,836584.0,818321.0,801682.0
6.0,840862.0,822445.0,806012.0,800589.0
7.0,826345.0,809893.0,804816.0,790323.0
8.0,813666.0,808527.0,794265.0,768698.0
9.0,812150.0,798004.0,772541.0,745564.0
10.0,801653.0,776406.0,749531.0,724254.0
11.0,780125.0,753498.0,728451.0,707775.0
12.0,757439.0,732649.0,712081.0,692261.0
13.0,736346.0,716037.0,696500.0,696260.0
14.0,720098.0,700638.0,700597.0,715074.0
15.0,704864.0,705525.0,720171.0,736387.0
16.0,709643.0,725215.0,741598.0,753147.0
17.0,730310.0,748166.0,760115.0,770332.0
18.0,754755.0,768759.0,779525.0,783859.0
19.0,779280.0,793918.0,799995.0,793054.0
20.0,805843.0,815198.0,810429.0,816623.0
21.0,826233.0,822060.0,830582.0,838241.0
22.0,834269.0,843098.0,853611.0,861387.0
23.0,854261.0,865623.0,876335.0,891519.0
24.0,874065.0,884516.0,903262.0,896611.0
25.0,892919.0,910832.0,906875.0,886078.0
26.0,917061.0,913728.0,895825.0,887553.0
27.0,919576.0,902169.0,896892.0,882947.0
28.0,907471.0,902681.0,891140.0,876909.0
29.0,907671.0,896911.0,885211.0,883344.0
30.0,900379.0,889017.0,889378.0,874264.0
31.0,892473.0,892499.0,879285.0,868107.0
32.0,895166.0,882164.0,872598.0,872045.0
33.0,884122.0,874648.0,875310.0,875365.0
34.0,875903.0,876897.0,878274.0,879174.0
35.0,878065.0,879664.0,881525.0,861131.0
36.0,880930.0,883404.0,863652.0,814934.0
37.0,883792.0,865084.0,817265.0,780719.0
38.0,865959.0,818703.0,782855.0,782431.0
39.0,819335.0,784017.0,783942.0,797347.0
40.0,784445.0,785152.0,799069.0,812252.0
41.0,785354.0,799676.0,813043.0,837304.0
42.0,800350.0,814700.0,839051.0,874727.0
43.0,814776.0,840030.0,875990.0,908172.0
44.0,840465.0,877161.0,909564.0,912467.0
45.0,877197.0,910248.0,913530.0,913494.0
46.0,910388.0,914074.0,914351.0,925293.0
47.0,914017.0,914498.0,925903.0,932124.0
48.0,914361.0,925856.0,932473.0,938366.0
49.0,925550.0,932364.0,938692.0,942403.0
50.0,931852.0,938173.0,942154.0,941748.0
51.0,937313.0,941239.0,941217.0,927681.0
52.0,940124.0,940075.0,926690.0,908058.0
53.0,938637.0,925379.0,906883.0,883234.0
54.0,923588.0,905185.0,881717.0,850983.0
55.0,903015.0,879613.0,849115.0,824741.0
56.0,877263.0,846713.0,822522.0,806562.0
57.0,844235.0,820022.0,804345.0,783126.0
58.0,817095.0,801486.0,780538.0,754869.0
59.0,798442.0,777668.0,752155.0,727494.0
60.0,774049.0,748905.0,724534.0,714532.0
61.0,745109.0,720925.0,711166.0,710567.0
62.0,717040.0,707370.0,706908.0,695820.0
63.0,702986.0,702393.0,691755.0,688301.0
64.0,697964.0,686858.0,683617.0,697441.0
65.0,681496.0,677662.0,691650.0,712202.0
66.0,671931.0,685079.0,705551.0,739148.0
67.0,678611.0,698292.0,731786.0,788807.0
68.0,691186.0,723673.0,780046.0,725557.0
69.0,714964.0,770352.0,716522.0,622505.0
70.0,759835.0,706384.0,613555.0,610786.0
71.0,695538.0,603944.0,601064.0,588239.0
72.0,593498.0,590538.0,577816.0,536679.0
73.0,579303.0,566310.0,525956.0,481036.0
74.0,554398.0,514390.0,470224.0,462626.0
75.0,502282.0,458581.0,451064.0,466097.0
76.0,446735.0,438797.0,453264.0,454982.0
77.0,426008.0,439363.0,440800.0,434110.0
78.0,424992.0,425721.0,419141.0,409679.0
79.0,410099.0,403271.0,394018.0,386246.0
80.0,386720.0,377245.0,369334.0,358516.0
81.0,359691.0,351611.0,340951.0,332521.0
82.0,333081.0,322528.0,314193.0,314959.0
83.0,303355.0,294994.0,295085.0,296736.0
84.0,274958.0,274558.0,275568.0,273042.0
85.0,253461.0,253991.0,251292.0,244779.0
86.0,232125.0,229189.0,222705.0,215095.0
87.0,206654.0,200654.0,193325.0,189611.0
88.0,178698.0,171901.0,168007.0,167190.0
89.0,150565.0,147173.0,145964.0,144317.0
90.0,127124.0,126926.0,125360.0,124984.0
91.0,106500.0,105853.0,104997.0,105543.0
92.0,87132.0,87009.0,87048.0,88968.0
93.0,70219.0,70673.0,71838.0,72763.0
94.0,55865.0,56966.0,57403.0,53948.0
95.0,43875.0,44496.0,41428.0,33365.0
96.0,33235.0,31169.0,24954.0,22112.0
97.0,22628.0,18270.0,16051.0,16547.0
98.0,12940.0,11405.0,11687.0,12440.0
99.0,7896.0,8115.0,8538.0,8756.0
